 T/K  p/MPa  x1L  x1V  densityL/(kg/m**3)  densityV/(kg/m**3)  hL/(J/mol)  hV/(J/mol)  sL/(J/mol/K)  sV/(J/mol/K)  cpresL/(J/mol/K)  cpresV/(J/mol/K)
        337.20000000          6.82923995          0.30000000          0.98250915        777.12340024        151.77064681     -30306.94869395      -2949.07418994        -95.58655385        -40.94430861         46.69142830         24.12658144
        337.20000000          7.04293539          0.31250000          0.98246367        778.25755379        159.07716372     -29909.04343482      -3069.40945156        -94.93004876        -41.47906056         46.69995403         26.30046163
        337.20000000          7.25162322          0.32500000          0.98238263        779.36306007        166.49754413     -29512.42633373      -3190.65731765        -94.27897817        -42.00297058         46.72218979         28.62160987
        337.20000000          7.45536625          0.33750000          0.98226723        780.43783334        174.03639019     -29117.06624926      -3312.86323062        -93.63311087        -42.51720133         46.75866418         31.10047196
        337.20000000          7.65422846          0.35000000          0.98211829        781.47964434        181.69836769     -28722.93065915      -3436.07388054        -92.99222366        -43.02279853         46.80995136         33.74784507
        337.20000000          7.84827504          0.36250000          0.98193624        782.48610803        189.48816940     -28329.98554500      -3560.33688047        -92.35609967        -43.52070632         46.87667545         36.57473771
        337.20000000          8.03757225          0.37500000          0.98172122        783.45467015        197.41046930     -27938.19526475      -3685.70037954        -91.72452698        -44.01177959         46.95951532         39.59217671
        337.20000000          8.22218749          0.38750000          0.98147306        784.38259224        205.46986642     -27547.52241152      -3812.21260550        -91.09729715        -44.49679382         47.05920999         42.81095006
        337.20000000          8.40218911          0.40000000          0.98119134        785.26693507        213.67081733     -27157.92765685      -3939.92133182        -90.47420402        -44.97645286         47.17656476         46.24127413
        337.20000000          8.57764644          0.41250000          0.98087539        786.10454014        222.01755629     -26769.36957628      -4068.87326602        -89.85504239        -45.45139496         47.31245809         49.89237448
        337.20000000          8.74862961          0.42500000          0.98052428        786.89200908        230.51400266     -26381.80445464      -4199.11336325        -89.23960684        -45.92219743         47.46784934         53.77197160
        337.20000000          8.91520948          0.43750000          0.98013687        787.62568062        239.16365586     -25995.18606829      -4330.68407821        -88.62769049        -46.38938009         47.64378761         57.88566725
        337.20000000          9.07745750          0.45000000          0.97971183        788.30160483        247.96947872     -25609.46544088      -4463.62457480        -88.01908381        -46.85340777         47.84142176         62.23623413
        337.20000000          9.23544560          0.46250000          0.97924758        788.91551414        256.93377199     -25224.59056858      -4597.96993210        -87.41357330        -47.31469224         48.06201181         66.82282190
        337.20000000          9.38924600          0.47500000          0.97874239        789.46279083        266.05804361     -24840.50611039      -4733.75039506        -86.81094021        -47.77359363         48.30694197         71.64010671
        337.20000000          9.53893111          0.48750000          0.97819431        789.93843034        275.34287877     -24457.15303787      -4870.99074295        -86.21095911        -48.23042183         48.57773563         76.67742805
        337.20000000          9.68457336          0.50000000          0.97760122        790.33699983        284.78781854     -24074.46823827      -5009.70986164        -85.61339640        -48.68543809         48.87607245         81.91797576
        337.20000000          9.82624507          0.51250000          0.97696085        790.65259131        294.39125720     -23692.38406350      -5149.92063038        -85.01800868        -49.13885728         49.20380822         87.33810764
