20768 TRCID	CASRN	Nist-Mod
14467	1871609	1 1 1 2 1 44 1 46 1 64
22383	13279873	1 1 1 2 1 45 1 48
17900	80345535	1 1 1 2 1 46 1 48 1 64
16162	0	1 1 1 2 1 46 5 78
5905	78999	1 1 1 2 1 48
3994	535159	1 1 1 2 1 48 1 77
478	106989	1 1 1 2 1 5
30653	21460366	1 1 1 2 1 5 1 133
3956	5296628	1 1 1 2 1 5 1 135
634	109499	1 1 1 2 1 5 1 19
1670	1629603	1 1 1 2 1 5 1 19
1099	123206	1 1 1 2 1 5 1 22
2452	2408200	1 1 1 2 1 5 1 22
31219	1617181	1 1 1 2 1 5 1 22
4201	557313	1 1 1 2 1 5 1 25
5764	764476	1 1 1 2 1 5 1 25
13237	18370871	1 1 1 2 1 5 1 25 1 135
2242	2155944	1 1 1 2 1 5 1 34
7628	2696302	1 1 1 2 1 5 1 34 1 66
12599	10524080	1 1 1 2 1 5 1 45
12733	24356001	1 1 1 2 1 5 1 45
5573	7319008	1 1 1 2 1 5 1 6
8391	592450	1 1 1 2 1 5 1 6
11315	14596920	1 1 1 2 1 5 1 6
11506	20237347	1 1 1 2 1 5 1 6
12330	7318674	1 1 1 2 1 5 1 6
24549	592483	1 1 1 2 1 5 1 6
1279	13721545	1 1 1 2 1 5 1 66
3048	3404635	1 1 1 2 1 5 1 7
5747	763304	1 1 1 2 1 5 1 7
6442	96059	1 1 1 2 1 5 1 7 1 77
16762	0	1 1 1 2 1 5 1 7 2 25
1321	140885	1 1 1 2 1 5 1 77
22035	58587681	1 1 1 2 1 5 1 8 1 34 1 69
19011	0	1 1 1 2 1 5 1 8 5 9 1 10
19013	0	1 1 1 2 1 5 1 8 5 9 1 12
21500	0	1 1 1 2 1 5 10 9 2 10 1 173
14197	13038374	1 1 1 2 1 5 2 22
14474	18861148	1 1 1 2 1 5 2 25
16286	0	1 1 1 2 1 5 4 78 1 80
2094	19947229	1 1 1 2 1 5 5 9 1 13
5855	7789891	1 1 1 2 1 51
3882	515844	1 1 1 2 1 51 1 77
562	108032	1 1 1 2 1 55
5023	626357	1 1 1 2 1 55 1 77
21704	52458045	1 1 1 2 1 6 1 131
11834	4088602	1 1 1 2 1 6 1 14
32861	504610	1 1 1 2 1 6 1 14
21741	764396	1 1 1 2 1 6 1 20
22662	5604557	1 1 1 2 1 6 1 20
32911	1576870	1 1 1 2 1 6 1 20
30844	628080	1 1 1 2 1 6 1 21
11202	10034125	1 1 1 2 1 6 1 24
21851	10034136	1 1 1 2 1 6 1 24
8819	0	1 1 1 2 1 6 1 24 1 25
8820	0	1 1 1 2 1 6 1 24 1 25
8519	13168995	1 1 1 2 1 6 1 24 1 77
8561	25665547	1 1 1 2 1 6 1 24 1 77
19080	0	1 1 1 2 1 6 1 24 1 77
146	7182107	1 1 1 2 1 6 1 35 4 78
1303	13991372	1 1 1 2 1 6 1 42
11367	1617329	1 1 1 2 1 6 1 42
11744	33698872	1 1 1 2 1 6 1 42
13219	16666425	1 1 1 2 1 6 1 42
19073	0	1 1 1 2 1 6 1 42 1 77
21406	3990032	1 1 1 2 1 6 1 42 1 77
8647	6261194	1 1 1 2 1 6 1 44
13497	53543445	1 1 1 2 1 6 1 44
15172	6261252	1 1 1 2 1 6 1 44
19198	627247	1 1 1 2 1 6 1 63
11726	31849782	1 1 1 2 1 6 1 64
11736	32620089	1 1 1 2 1 6 1 64
13838	4784774	1 1 1 2 1 6 1 64
19063	0	1 1 1 2 1 6 1 64
2696	2806566	1 1 1 2 1 6 1 65
12350	7611861	1 1 1 2 1 6 1 69
13630	7611872	1 1 1 2 1 6 1 69
26398	4461421	1 1 1 2 1 6 1 69
18998	0	1 1 1 2 1 6 2 9 1 10 3 11
8604	35801902	1 1 1 2 1 6 2 9 1 197
4919	623201	1 1 1 2 1 6 2 9 1 77 1 160
18974	0	1 1 1 2 1 6 3 78 1 202
18657	142062133	1 1 1 2 1 6 3 9 1 10 2 11
18987	0	1 1 1 2 1 6 3 9 1 10 2 11
18778	5860297	1 1 1 2 1 6 4 78 1 79
18981	0	1 1 1 2 1 6 4 9 1 10 1 11
18982	0	1 1 1 2 1 6 4 9 1 10 1 11
21752	0	1 1 1 2 1 6 4 9 1 10 1 11 1 77
26926	23784636	1 1 1 2 1 6 4 9 1 10 1 53 1 100
23867	6047694	1 1 1 2 1 6 4 9 1 11 1 12
23106	24931666	1 1 1 2 1 6 4 9 1 11 1 122
19031	0	1 1 1 2 1 6 4 9 2 10 1 24
27048	23784749	1 1 1 2 1 6 4 9 2 10 1 24 1 100
8490	0	1 1 1 2 1 6 5 78 1 79
11204	1005647	1 1 1 2 1 6 5 9 1 10
11342	1560094	1 1 1 2 1 6 5 9 1 10
25091	824908	1 1 1 2 1 6 5 9 1 10
26976	6329153	1 1 1 2 1 6 5 9 1 10 1 100
18698	186494655	1 1 1 2 1 6 5 9 1 10 1 66
335	103366	1 1 1 2 1 6 5 9 1 10 1 77
11363	16091239	1 1 1 2 1 6 5 9 1 12
18730	27911122	1 1 1 2 1 6 5 9 1 12
22445	854469173	1 1 1 2 1 6 9 9 3 10
483	107039	1 1 1 2 1 60
5631	75036	1 1 1 2 1 63
5621	74964	1 1 1 2 1 64
6758	3355280	1 1 1 2 1 64 1 66
14137	118725590	1 1 1 2 1 64 2 69 1 70
18689	1573768	1 1 1 2 1 64 2 69 1 70
481	107006	1 1 1 2 1 65
361	10420914	1 1 1 2 1 65 1 66
3544	4447216	1 1 1 2 1 65 1 66
4927	623472	1 1 1 2 1 65 1 77
14721	30628309	1 1 1 2 1 66 4 78 1 79
33180	513428	1 1 1 2 1 7 1 14
25162	922634	1 1 1 2 1 7 1 20
16544	0	1 1 1 2 1 7 1 22 1 44
11564	22418491	1 1 1 2 1 7 1 24
17077	0	1 1 1 2 1 7 1 25 1 64
24893	2455245	1 1 1 2 1 7 1 25 1 77 2 78 1 79
7127	4513535	1 1 1 2 1 7 1 41 1 77
3160	3586581	1 1 1 2 1 7 1 42
11366	1617318	1 1 1 2 1 7 1 42
11219	10523963	1 1 1 2 1 7 1 44
1986	1888944	1 1 1 2 1 7 1 44 1 77
2381	23074364	1 1 1 2 1 7 1 64
6644	1458986	1 1 1 2 1 7 1 64
31200	13861228	1 1 1 2 1 7 1 65 1 77
11553	2211703	1 1 1 2 1 7 1 69
471	106912	1 1 1 2 1 7 1 77 1 107
8664	72826018	1 1 1 2 1 7 1 8 2 24
8665	72826029	1 1 1 2 1 7 1 8 2 24
