253	q	EOK(K)	 b(cc/	k10	k11	KadNm3	eDon	eAcc	nDegree	#eDs	#eAs	idCas	Name
3102	7.2168	200.03	111.596	-0.7	2	0.001	1280	3960	1	1	1	32480163	2-METHYL-1-TRIDECANOL         
3103	6.7003	195.65	104.135	-0.7	2	0.001	1280	3960	1	1	1	22663612	2-METHYL-DODECAN-1-OL         
3104	4.5317	197.11	82.8	-0.7	2	0.001	1280	3960	1	1	1	38514033	4-METHYL-1-OCTANOL            
3105	4.5436	197.57	82.927	-0.7	2	0.001	1280	3960	1	1	1	38514055	6-METHYL-1-OCTANOL            
3106	4.4756	199.42	81.775	-0.7	2	0.001	1280	3960	1	1	1	3525255	3-ETHYL-1-HEPTANOL            
3107	3.7737	230.51	71.018	-0.7	2	0.001	1280	3960	1	1	1	89838	THYMOL                        
3108	3.0735	257.05	78.983	-0.7	2	0.001	1280	3960	1	1	1	3228033	1-METHYL-3-HYDROXY-5-ISOPROP  
3109	3.0512	255.99	78.745	-0.7	2	0.001	1280	3960	1	1	1	3228022	1-METHYL-3-HYDROXY-6-ISOPROP  
3240	6.3126	200.87	67.437	-0.7	2	0.001	1280	3960	1	1	1	565480	cis-18-TERPIN                 
3241	6.3651	202.94	67.945	-0.7	2	0.001	1280	3960	1	1	1	565504	trans-18-TERPIN               
3701	2.0723	310.31	57.854	-0.7	2	0.001	400	6200	1	1	1	6228735	CYCLOPROPANECARBOXAMIDE       
3706	4.4204	206.66	55.287	-0.7	2	0.001	730	1470	1	1	1	462942	15-PENTANEDIAMINE             
3722	4.892	200.5	93.242	-0.7	2	0.0004	1010	1010	1	1	1	2050922	DIAMYLAMINE                   
3724	4.0853	225.09	111.355	-0.7	2	0.001	730	1470	1	1	1	7307553	UNDECYLAMINE                  
3728	5.8858	219.48	168.476	-0.7	2	0.001	730	1470	1	1	1	1120485	DI-n-OCTYLAMINE               
3742	3.6138	207.45	41.026	-0.7	2	0.001	730	1470	1	1	1	109762	13-PROPANEDIAMINE             
3750	5.1402	287.54	85.584	-0.7	2	0.001	730	1470	1	1	1	92875	BENZIDINE                     
3796	3.2805	247.27	69.166	-0.7	2	0.0004	1010	1010	1	1	1	103695	N-ETHYLANILINE                
3860	3.1957	269.22	58.731	-0.7	2	0.0004	730	1470	1	1	1	106478	p-CHLOROANILINE               
3881	2.3074	435.64	159.793	-0.7	2	0.001	1280	3960	1	1	1	57501	SUCROSE                       
4858	3.2079	267.28	58.555	-0.7	2	0.001	730	1470	1	1	1	108429	m-CHLOROANILINE               
4879	3.5153	276.5	67.559	-0.7	2	0.001	730	1470	1	1	1	95761	34-DICHLOROANILINE            
4889	0.0619	1080.05	37.215	-0.7	2	0.001	400	6200	1	1	1	463729	CARBAMYLCHLORIDE              
6852	1.6125	314.49	87.079	-0.7	2	0.0004	400	6200	1	1	1	2425743	tert-BUTYLFORMAMIDE           
