242	q	EOK(K)	 b(cc/	KadNm3	eDon	eAcc	nDegree	#eDs	#eAs	idCas	Name
1717	2.9530  359.083 11.221	0.00040	730	1470	1	1	1	302012	HYDRAZINE
1792	3.617	357.00	31.66	0.00040	730	1470	1	1	1	62533	ANILINE(CHCL3,Ac=O,MeOH)
1733	3.6880  346.970	37.893	0.00040	730	1470	1	1	1	100469	BenzylAmine
1859	3.8984  359.021	37.156	0.00040	730	1470	1	1	1	95512	oChloroANILINE
3860	3.9248  374.100	38.730	0.00040	730	1470	1	1	1	106478	pChloroANILINE
1736	3.6237  365.855 36.625	0.00040	730	1470	1	1	1	95534	oTOLUIDINE
1737	4.0301  347.446	38.709	0.00040	730	1470	1	1	1	108441	mTOLUIDINE
1738	4.3397  332.047 39.868	0.00040	730	1470	1	1	1	106490	pTOLUIDINE
1729	3.3368  323.727	35.851	0.00040	730	1470	1	1	1	108918	CYCLOHEXYLAMINE
1765	3.3728  323.768	28.295	0.00040	730	1470	1	1	1	110918	MORPHOLINE
3951	1.4235  321.665	12.494	0.00080	400	400	1	1	1	7783075	HydrogenSelenide
1723	3.233	353.55	24.12	0.00040	2013	2013	1	1	1	141435	MONOETHANOLAMINE
1724	7.835	294.99	33.61	0.00040	2013	2013	1	1	1	111422	DIETHANOLAMINE
1725	8.587	299.16	42.93	0.00010	2013	2013	1	3	3	102716	TRIETHANOLAMINE
1727	2.927	269.16	31.59	0.00100	1107	0	1	1	0	75649	tert-BUTYLAMINE
1741	4.357	283.09	21.59	0.00100	2900	0	1	2	0	107153	ETHYLENEDIAMINE
1748	3.455	407.40	39.04	0.00080	1600	0	1	1	0	91225	quinoline(MeOH)
1760	3.463	306.11	22.59	0.00100	0	2850	1	0	1	75525	NitroMethane(Ac=O,Benz,TCE)
1761	3.708	300.90	27.44	0.00100	0	2700	1	0	1	79243	nitroethane(Benz)
1762	3.953	299.90	32.72	0.00100	0	2370	1	0	1	108032	1-nitropropane(PhCL)
1763	3.732	300.60	31.83	0.00100	0	2510	1	0	1	79469	2-nitropropane(Benz)
1771	3.452	235.41	20.81	0.00050	1107	1107	1	1	1	74908	HYDROGENCYANIDE
1772	3.2926	289.36	27.52	0.00070	1090	0	1	1	0	75058	ACETONITRILE(CHCL3)
1773	3.3931	294.31	32.03	0.00070	990	0	1	1	0	107120	PROPIONITRILE(~ACN,NoAs)
1774	3.187	290.11	28.54	0.00070	990	0	1	1	0	107131	ACRYLONITRILE(~ACN,NoAs)
1781	5.432	349.10	53.73	0.00070	0	1250	1	2	0	544138	glutaronitrile(EtOH)
1782	3.4925	303.59	36.46	0.00070	990	0	1	1	0	109740	BUTYRONITRILE(~ACN,NoAs)
1783	3.906	303.74	40.16	0.00070	990	0	1	1	0	110598	VALERONITRILE(~ACN,NoAs)
1790	3.407	367.66	40.47	0.00070	990	0	1	1	0	100470	BENZONITRILE
1791	2.668	358.40	28.01	0.00080	740	0	1	1	0	110861	PYRIDINE(CHCL3)
1801	2.105	302.47	17.07	0.00100	0	300	1	1	1	74931	METHYLMERCAPTAN(MeThiol)
1802	2.189	313.03	24.02	0.00100	0	300	1	1	1	75081	ETHYLMERCAPTAN(EtThiol)
1841	2.876	319.26	36.06	0.00100	0	2680	1	0	1	109795	n-BUTYLThiol(Toluene)
1844	3.0887	396.58	31.97	0.00040	750	0	1	1	0	67685	DMSO(CHCL3)
1845	3.299	460.17	38.89	0.00100	0	900	1	0	1	126330	sulfolane(PyridineHE,kij=0)
1876	3.281	345.04	35.98	0.00040	2250	0	1	1	0	68122	DMF(CHCL3)
1886	4.106	351.58	38.04	0.00100	0	1550	1	0	1	98953	NitroBenzene(DMSO)
1889	3.427	346.79	29.10	0.00070	755	755	1	2	2	98011	FURFURAL
1901	1.539	313.25	51.56	0.00080	2768	2768	1	1	1	7664939	SulfuricAcid
1904	1.179	270.97	11.20	0.00080	755	755	1	1	1	7647010	HydrogenChloride
1905	1.539	313.25	21.56	0.00080	1761	1761	1	1	1	7664393	HydrogenFluoride
1906	1.168	312.50	11.76	0.00080	654	654	1	1	1	10035106	HydrogenBromide
1907	1.113	380.80	13.79	0.00080	604	604	1	1	1	10034852	HydrogenIodide
1911	0.9937	337.30	11.42	0.00100	1250	1400	1	1	1	7664417	AMMONIA(CHCL3)
1912	2.7059  233.08   9.12	0.00100	2400	0	1	1	1	7664418	AMMONIA24(H2O)
1920	1.5288	399.01	9.24	0.00156	2100	2100	1	1	1	7732185	WATER23
1921	1.01	427.25	9.41	0.00156	2070	3100	1	1	1	7732185	WATER92(Ac=O)
1922	1.567	276.54	11.32	0.00080	400	400	1	1	1	7783064	HydrogenSulfide(DMFvl,DMSOvl)
1938	1.758	388.70	18.63	0.00100	0	1800	1	1	1	75150	CS2(Ac=O)
1969	6.986	255.85	148.30	0.00000	0	0	1	0	0	141639	DODECAMETHYLPENTASILOXANE
1997	1.134	402.55	9.39	0.00156	2587	2587	1	1	1	7789200	DeuteriumOxide
2112	4.315	341.74	8.80	0.00050	2013	2013	1	1	1	620177	m-ETHYLPHENOL
2260	7.12	278.80	48.37	0.00002	1107	1107	1	1	1	149575	2-EtHexanoicAcid
2261	6.764	283.80	45.06	0.00002	1107	1107	1	1	1	111148	n-HEPTANOIC ACID
2375	5.715	341.12	73.14	0.00070	600	0	1	1	0	84662	DIETHYLPHTHALATE(MeOHvl)
2391	3.6706	278.96	29.10	0.00070	230	0	1	1	0	616386	DiMeCarbonate(111TCE)
2640	2.928	275.84	31.71	0.00100	0	1600	1	0	1	151677	Halothane(Ac=O)
2796	3.446	325.30	40.37	0.00080	1600	0	1	1	0	108485	26-dimethylpyridine(MeOHvl)
2851	1.614	474.00	20.20	0.00100	3300	3300	1	1	1	75127	FORMAMIDE(Ac=O)
2852	3.844	360.41	30.40	0.00080	1420	780	1	1	1	123397	N-methylformamide(MeOH)
2853	3.511	389.38	28.26	0.00080	880	2640	1	1	1	60355	ACETAMIDE
2856	3.582	338.20	39.29	0.00080	1750	0	1	1	0	127195	NN-dimethylacetamide(CH2CL2)
2857	5.231	321.59	39.34	0.00070	2013	2013	1	2	2	103902	ACETAMINOPHEN
2860	1.817	380.11	33.20	0.00070	2960	2072	1	1	1	109864	MethOXYETHANOL
2861	4.368	285.94	32.81	0.00100	1000	150	1	2	1	110805	2-ethoxyethanol(intraHB)
2862	2.963	338.89	50.52	0.00070	2016	3016	1	1	1	111762	2-BUTOXYETHANOL
2900	3.7778	392.55	36.42	0.00040	1000	0	1	0	0	4394858	N-formylMorpholine(CO2)
2990	5.231	250.10	93.50	0.00000	0	0	1	0	0	107517	OCTAMETHYLTRISILOXANE
2991	7.904	279.71	235.70	0.00000	0	0	1	0	0	556694	OCTADECAMETHYLOCTASILOXANE
2995	7.631	273.00	206.50	0.00000	0	0	1	0	0	541015	HEXADECAMETHYLHEPTASILOXANE
3854	2.876	315.35	36.75	0.00070	1513	2513	1	1	1	107982	ProGlyMeEther
3951	1.034	381.83	12.60	0.00080	755	755	1	1	1	7783075	HydrogenSelenide
4993	7.375	263.29	177.20	0.00000	0	0	1	0	0	107528	TETRADECAMETHYLHEXASILOXANE
4994	5.981	256.81	121.60	0.00000	0	0	1	0	0	141628	DECAMETHYLTETRASILOXANE
5883	5.152	274.51	35.75	0.00012	2013	2013	1	1	1	97643	EthylLACTATE(OHintra)
6854	4.247	346.43	33.36	0.00080	1600	700	1	1	1	79163	N-methylacetamide(MeOH)
6862	4.164	300.07	28.76	0.00070	2013	2013	1	1	1	109831	METHYLETHANOLAMINE
8003	3.905	382.95	23.36	0.00080	2200	1600	1	1	1	79050	PROPANAMIDE
9855	3.7942	370.20	40.06	0.00040	1700	0	1	1	0	2687914	N-ETHYL-2-PYRROLIDONE(~NMP,NoTDE)
9858	8.1354	286.30	89.74	0.00040	900	0	1	1	0	126738	TRI-n-BUTYLPHOSPHATE(NoTDE)
51028	988.092	296.55	7858.60	0.00040	900	0	146	1	0	25038599	PET28k
