248	q	EOK(K)	 b(cc/	k10	k11	KadNm3	eDon	eAcc	nDegree	#eDs	#eAs	idCas	Name
1165	4.9274	184.13	150.74	-1.479	4.344	0.0004	1280	3960	1	1	1	10522266	2-METHYL-1-UNDECANOL          
1167	1.9812	201.4	50.626	-1.275	4.122	0.0004	2516	2516	1	1	1	107186	ALLYLALCOHOL                  
1168	5.3158	183.78	74.372	-1.824	10.696	0.0002	1280	3960	1	1	1	617947	2-PHENYL-2-PROPANOL           
1169	3.7957	186.6	196.051	-1.525	2.504	0.0002	1280	3960	1	1	1	3913028	2-BUTYL-OCTAN-1-OL            
1170	1.7243	240.97	123.897	-1.576	1.398	0.0004	2013	2013	1	1	1	526750	23-XYLENOL                    
1171	2.2726	257.11	105.176	-1.155	0.206	0.0004	540	1660	1	1	1	4286231	p-ISOPROPENYLPHENOL           
1172	1.7123	239.56	130.798	-1.538	1.225	0.0004	2013	2013	1	1	1	105679	24-XYLENOL                    
1174	3.1577	218.55	74.234	-1.501	4.241	0.0004	2013	2013	1	1	1	95874	25-XYLENOL                    
1176	1.5804	241.84	138.768	-1.576	1.427	0.0004	2013	2013	1	1	1	576261	26-XYLENOL                    
1177	1.8655	237.45	119.553	-1.564	1.322	0.0004	2013	2013	1	1	1	95658	34-XYLENOL                    
1178	1.656	256.81	145.128	-1.372	0.437	0.0004	2013	2013	1	1	1	108689	35-XYLENOL                    
1179	2.3358	179.56	70.739	-1.896	5.956	0.0001	1280	3960	1	1	1	107197	PROPARGYLALCOHOL              
1180	4.7808	264.49	35.84	0.166	5.718	0.0001	1280	3960	1	1	1	100516	BENZYLALCOHOL                 
1181	1.5023	255.56	88.596	-1.407	0.381	0.0004	880	1620	1	1	1	108952	PHENOL                        
1182	1.5847	254.24	103.119	-1.435	1.128	0.0004	2013	2013	1	1	1	95487	o-CRESOL                      
1183	1.5513	260.57	114.444	-1.334	0.02	0.0004	255	2545	1	1	1	108394	m-CRESOL                      
1184	1.6288	248.69	108.229	-1.484	1.029	0.0004	2013	2013	1	1	1	106445	p-CRESOL                      
1185	1.6105	244.82	133.732	-1.526	1.189	0.0004	2013	2013	1	1	1	90006	o-ETHYLPHENOL                 
1186	5.1473	303.55	30.157	0.663	0.694	0.0001	540	1660	1	1	1	123319	p-HYDROQUINONE                
1187	6.6345	234.15	33.728	-0.296	9.432	0.0004	2013	2013	1	1	1	123079	p-ETHYLPHENOL                 
1197	1.5223	265.81	175.037	-1.373	-0.228	0.0004	540	1660	1	1	1	98544	p-tert-BUTYLPHENOL            
1199	3.9354	230.43	167.907	-1.16	0.861	0.0004	540	1660	1	1	1	25154523	NONYLPHENOL                   
1201	2.6261	244.76	41.127	-1.327	5.246	0.0004	2013	2013	2	1	1	107211	ETHYLENEGLYCOL                
1202	1.9411	248.53	116.663	-1.481	1.686	0.0004	2013	2013	2	1	1	111466	DIETHYLENEGLYCOL              
1204	2.5006	226.91	261.393	-1.707	2.591	0.0004	1280	3960	2	1	1	112607	TETRAETHYLENEGLYCOL           
1211	4.158	140.74	127.502	-2.369	12.351	0.0004	1280	3960	2	1	1	57556	12-PROPYLENEGLYCOL            
1212	3.5881	200.42	45.282	-1.893	7.994	0.0004	2013	2013	2	1	1	504632	13-PROPYLENEGLYCOL            
1219	6.2287	199.34	36.668	-2.167	23.388	0.0004	1280	3960	2	1	1	2163420	2-METHYL-13-PROPANEDIOL       
1220	3.1364	220.93	54.05	-1.731	12.326	0.0004	1280	3960	2	1	1	584032	12-BUTANEDIOL                 
1221	5.8263	203.67	46.348	-1.146	10.018	0.0004	2013	2013	2	1	1	107880	13-BUTANEDIOL                 
1222	4.7507	149.69	106.881	-2.275	12.627	0.0004	1280	3960	2	1	1	107415	HEXYLENEGLYCOL                
1231	11.8092	284.33	11.852	1.779	17.746	0.0001	2013	2013	3	1	1	56815	Glycerol                      
1235	3.7163	225.86	102.244	-1.735	7.679	0.0004	1280	3960	2	1	1	98293	p-tert-BUTYLCATECHOL          
1236	2.6602	229.79	130.162	-1.506	5.861	0.0004	1280	3960	2	1	1	144194	224-TRIMETHYL-13-PENTANED     
1241	3.8956	181.94	74.923	-1.945	8.975	0.0004	1280	3960	2	1	1	110634	14-BUTANEDIOL                 
1242	6.8716	160.98	80.034	-2.342	15.682	0.0004	1280	3960	2	1	1	111295	15-PENTANEDIOL                
1244	3.4088	188.4	99.468	-2.306	11.152	0.0004	1280	3960	2	1	1	120809	12-BENZENEDIOL                
1245	3.4354	246.3	50.462	-1.665	8.389	0.0004	1280	3960	2	1	1	108463	13-BENZENEDIOL                
1248	4.1055	189.12	110.876	-2.378	12.549	0.0004	1280	3960	3	1	1	87661	123-BENZENETRIOL              
1701	1.1017	200.31	36.984	-1.243	2.31	0.0005	2140	860	1	1	1	74895	METHYLAMINE                   
1702	1.1875	179.83	64.686	-1.362	0.331	0.0004	1315	305	1	1	1	124403	DIMETHYLAMINE                 
1704	1.3905	188.44	51.904	-1.254	1.487	0.001	730	1470	1	1	1	75047	ETHYLAMINE                    
1705	2.2677	197.71	66.187	-1.052	2.499	0.001	730	1470	1	1	1	594398	2-METHYL-2-AMINOBUTANE        
1707	1.6783	190.79	137.228	-1.487	0.931	0.0004	1010	1010	1	1	1	142847	DI-n-PROPYLAMINE              
1710	2.6745	185.72	52.19	-0.867	2.988	0.0004	1010	1010	1	1	1	109897	DIETHYLAMINE                  
1711	3.2699	192.3	30.441	-0.375	4.972	0.001	730	1470	1	1	1	107108	n-PROPYLAMINE                 
1712	2.0115	202.67	64.584	-1.103	1.794	0.001	730	1470	1	1	1	109739	n-BUTYLAMINE                  
1713	2.3114	196.64	79.988	-1.206	2.013	0.001	730	1470	1	1	1	110587	n-PENTYLAMINE                 
1714	1.4706	192.15	92.861	-1.431	0.898	0.0004	730	1470	1	1	1	78819	ISOBUTYLAMINE                 
1715	2.3313	185.79	42.212	-1.204	3.219	0.0004	1010	1010	1	1	1	765300	CYCLOPROPYLAMINE              
1717	3.2092	241.83	14.552	-0.674	4.244	0.0004	730	1470	1	1	1	302012	Hydrazine                     
1718	3.9905	191.22	76.501	-0.933	4.157	0.0004	1010	1010	1	1	1	110963	DIISOBUTYLAMINE               
1719	2.2775	189.87	41.537	-0.721	2.151	0.0004	730	1470	1	1	1	75310	ISOPROPYLAMINE                
1720	2.3667	213.31	366.475	-1.58	0.828	0.001	730	1470	1	1	1	2016424	n-TETRADECYLAMINE             
1721	2.5368	247.68	37.754	-0.699	1.929	0.0004	1010	1010	1	1	1	109977	PYRROLE                       
1726	2.4319	197.59	52.62	-0.888	2.753	0.0004	730	1470	1	1	1	13952846	sec-BUTYLAMINE                
1727	5.362	181.46	23.619	0.277	10.455	0.0004	730	1470	1	1	1	75649	tert-BUTYLAMINE               
1729	1.4155	231.39	115.279	-1.445	0.789	0.0004	730	1470	1	1	1	108918	CYCLOHEXYLAMINE               
1730	5.1284	265.19	159.352	-0.832	2.799	0.0004	730	1470	1	1	1	1446613	DEHYDROABIETYLAMINE           
1731	4.1262	200.48	82.57	-1.362	4.89	0.0001	730	1470	2	1	1	124094	HEXAMETHYLENEDIAMINE          
1732	4.1735	261.71	61.316	-0.816	2.899	0.0004	730	1470	2	1	1	95807	24-DIAMINOTOLUENE             
1733	1.5332	255.63	114.369	-1.34	0.32	0.0004	730	1470	1	1	1	100469	BENZYLAMINE                   
1734	3.6716	216.59	61.505	-1.089	4.806	0.0004	730	1470	2	1	1	280579	TRIETHYLENEDIAMINE            
1735	1.954	279.49	222.074	-1.408	0.125	0.0004	730	1470	1	1	1	136356	13-DIPHENYLTRIAZENE           
1736	1.4578	278.12	108.98	-1.295	0.171	0.0004	730	1470	1	1	1	95534	o-TOLUIDINE                   
1737	1.5973	264.17	115.825	-1.298	0.145	0.0004	730	1470	1	1	1	108441	m-TOLUIDINE                   
1738	1.5788	247.59	136.852	-1.427	0.35	0.0004	730	1470	1	1	1	106490	p-TOLUIDINE                   
1739	2.6925	208.95	169.026	-1.494	0.386	0.0004	730	1470	2	1	1	112243	TRIETHYLENETETRAMINE          
1740	2.3135	190.18	43.669	-1.03	2.866	0.001	730	1470	1	1	1	107119	ALLYLAMINE                    
1741	1.6073	203.8	79.415	-1.529	0.906	0.0001	730	1470	2	1	1	107153	ETHYLENEDIAMINE               
1742	5.9807	239.05	9.646	3.431	8.942	0.0004	730	1470	1	1	1	151564	ETHYLENEIMINE                 
1744	1.7086	204.8	189.2	-1.485	0.582	0.0004	1010	1010	1	1	1	111922	DI-n-BUTYLAMINE               
1745	2.9258	238.68	39.299	-0.315	3.282	0.0004	1010	1010	1	1	1	110894	PIPERIDINE                    
1749	2.9741	248.46	98.536	-1.618	6.009	0.0004	400	6200	1	1	1	103708	FORMANILIDE                   
1750	2.5757	239.86	96.289	-1.147	0.79	0.0004	730	1470	1	1	1	140318	N-AMINOETHYLPIPERAZINE        
1752	2.745	200.12	52.183	-1.135	1.956	0.0001	730	1470	2	1	1	78900	12-PROPANEDIAMINE             
1756	1.7202	278.15	205.731	-1.465	0.414	0.0002	1010	1010	1	1	1	122394	DIPHENYLAMINE                 
1757	3.7511	260.5	51.45	-0.7	2.576	0.0001	730	1470	1	1	1	100630	PHENYLHYDRAZINE               
1759	7.1424	287.92	32.341	1.733	7.585	0.0004	1010	1010	1	1	1	91634	QUINALDINE                    
1765	1.8632	229.66	68.113	-1.237	1.146	0.0004	730	1470	1	1	1	110918	MORPHOLINE                    
1766	1.7407	230.24	53.364	-1.026	0.994	0.0004	1010	1010	1	1	1	123751	PYRROLIDINE                   
1792	2.6032	256.69	55.319	-0.88	1.631	0.0004	730	1470	1	1	1	62533	ANILINE                       
1795	1.679	243.68	106.254	-1.481	0.829	0.0004	1010	1010	1	1	1	100618	N-METHYLANILINE               
1859	1.5438	265.75	119.266	-1.404	0.547	0.0004	730	1470	1	1	1	95512	o-CHLOROANILINE               
1862	15.818	150.67	29.998	-3.256	37.691	0.0001	1280	3960	2	1	1	96242	3-CHLORO-12-PROPANEDIOL       
1880	3.8119	287.98	52.927	-0.47	2.789	0.0004	540	1660	1	1	1	105602	epsilon-CAPROLACTAM           
1911	1.196	189.16	19.29	-1.03	3.66	0.0004	975	1675	1	1	1	7664417	AMMONIA                       
1921	0.9002	348.99	13.562	-0.251	2.021	0.001	2070	3100	1	1	1	7732185	WATER                         
1997	0.8999	352.75	13.336	-0.055	1.366	0.001	2587	2587	1	1	1	7789200	DEUTERIUMOXIDE                
2112	1.6998	247.32	130.527	-1.483	0.988	0.0005	2013	2013	1	1	1	620177	m-EthylPHENOL                 
2115	2.2318	205.84	147.308	-1.601	1.177	0.0004	540	1660	1	1	1	60128	2-PHENYLETHANOL               
2117	2.2592	185.53	182.056	-1.466	0.15	0.0004	540	1660	1	1	1	108827	26-DIMETHYL-4-HEPTANOL        
2118	2.2272	203.51	165.901	-1.611	1.229	0.0004	540	1660	1	1	1	93549	1-PHENYL-1-PROPANOL           
2121	6.373	254.32	39.16	0.691	3.341	0.0004	540	1660	1	1	1	122974	3-PHENYL-1-PROPANOL           
2181	3.9541	249.59	52.993	-0.258	1.89	0.0004	540	1660	1	1	1	98851	alpha-METHYLBENZYLALCOHOL     
2182	2.2447	209.16	144.572	-1.504	0.631	0.0004	540	1660	1	1	1	589184	p-TOLUALCOHOL                 
2184	3.9931	210.03	70.821	-1.073	1.672	0.0004	540	1660	1	1	1	587031	m-TOLUALCOHOL                 
