IdDippr	T(K)	P(Mpa)	rho(g/cm3)	D(cm2/s)
1	160	1.649	0.336882	0.000175	KR Harris and NJ Trappenier, Physica 104A, 1980, 262-280
1	160	7.188	0.35308442	0.000158	KR Harris and NJ Trappenier, Physica 104A, 1980, 262-280
1	160	15.387	0.368966	0.000139	KR Harris and NJ Trappenier, Physica 104A, 1980, 262-280
1	160	26.82	0.385008	0.000125	KR Harris and NJ Trappenier, Physica 104A, 1980, 262-280
1	160	42.089	0.40105	0.000107	KR Harris and NJ Trappenier, Physica 104A, 1980, 262-280
1	160	61.851	0.417092	0.0000903	KR Harris and NJ Trappenier, Physica 104A, 1980, 262-280
1	160	86.857	0.433134	0.0000791	KR Harris and NJ Trappenier, Physica 104A, 1980, 262-280
1	160	118.061	0.449176	0.0000659	KR Harris and NJ Trappenier, Physica 104A, 1980, 262-280
1	160	156.763	0.465218	0.0000562	KR Harris and NJ Trappenier, Physica 104A, 1980, 262-280
1	160	204.77	0.48126	0.0000458	KR Harris and NJ Trappenier, Physica 104A, 1980, 262-280
1	223.15	6.2	0.08037042	0.0014	KR Harris and NJ Trappenier, Physica 104A, 1980, 262-280
1	223.15	7.89	0.12063584	0.00092	KR Harris and NJ Trappenier, Physica 104A, 1980, 262-280
1	223.15	16.92	0.25635116	0.000378	KR Harris and NJ Trappenier, Physica 104A, 1980, 262-280
1	223.15	21.68	0.28025374	0.000328	KR Harris and NJ Trappenier, Physica 104A, 1980, 262-280
1	223.15	143.85	0.41837536	0.000129	KR Harris and NJ Trappenier, Physica 104A, 1980, 262-280
1	223.15	143.9	0.41837536	0.000128	KR Harris and NJ Trappenier, Physica 104A, 1980, 262-280
1	223.15	144.04	0.41853578	0.000127	KR Harris and NJ Trappenier, Physica 104A, 1980, 262-280
1	223.15	173	0.43169022	0.000114	KR Harris and NJ Trappenier, Physica 104A, 1980, 262-280
1	298.15	8.57	0.06384716	0.00217	KR Harris and NJ Trappenier, Physica 104A, 1980, 262-280
1	298.15	10.49	0.08021	0.00169	KR Harris and NJ Trappenier, Physica 104A, 1980, 262-280
1	298.15	19.69	0.15496572	0.000856	KR Harris and NJ Trappenier, Physica 104A, 1980, 262-280
1	298.15	42.14	0.25442612	0.000464	KR Harris and NJ Trappenier, Physica 104A, 1980, 262-280
1	298.15	56.71	0.28683096	0.000389	KR Harris and NJ Trappenier, Physica 104A, 1980, 262-280
1	298.15	76.73	0.31715034	0.000314	KR Harris and NJ Trappenier, Physica 104A, 1980, 262-280
1	298.15	77.27	0.31779202	0.000317	KR Harris and NJ Trappenier, Physica 104A, 1980, 262-280
1	298.15	77.29	0.31795244	0.000313	KR Harris and NJ Trappenier, Physica 104A, 1980, 262-280
1	298.15	77.32	0.31795244	0.000324	KR Harris and NJ Trappenier, Physica 104A, 1980, 262-280
1	298.15	107.63	0.34923434	0.000269	KR Harris and NJ Trappenier, Physica 104A, 1980, 262-280
1	298.15	140.75	0.37409944	0.000229	KR Harris and NJ Trappenier, Physica 104A, 1980, 262-280
1	298.15	163.68	0.38789556	0.000208	KR Harris and NJ Trappenier, Physica 104A, 1980, 262-280
1	323.15	39.3	0.22410674	0.000596	KR Harris and NJ Trappenier, Physica 104A, 1980, 262-280
1	323.15	44.76	0.23998832	0.000536	KR Harris and NJ Trappenier, Physica 104A, 1980, 262-280
1	323.15	50.93	0.25538864	0.000492	KR Harris and NJ Trappenier, Physica 104A, 1980, 262-280
1	323.15	66.94	0.28586844	0.000412	KR Harris and NJ Trappenier, Physica 104A, 1980, 262-280
1	323.15	89.79	0.31666908	0.000344	KR Harris and NJ Trappenier, Physica 104A, 1980, 262-280
1	323.15	89.82	0.31666908	0.000348	KR Harris and NJ Trappenier, Physica 104A, 1980, 262-280
1	323.15	89.83	0.31666908	0.000344	KR Harris and NJ Trappenier, Physica 104A, 1980, 262-280
1	323.15	122.82	0.34779056	0.000288	KR Harris and NJ Trappenier, Physica 104A, 1980, 262-280
1	323.15	159.79	0.37345776	0.000246	KR Harris and NJ Trappenier, Physica 104A, 1980, 262-280
1	223.15	11.3	0.20014	0.000552	KR Harris and NJ Trappenier, Physica 104A, 1980, 262-280
1	223.15	35.85	0.31974	0.000268	KR Harris and NJ Trappenier, Physica 104A, 1980, 262-280
1	223.15	143.9	0.41856	0.00013	KR Harris and NJ Trappenier, Physica 104A, 1980, 262-280
1	298.15	32.89	0.22444	0.000579	KR Harris and NJ Trappenier, Physica 104A, 1980, 262-280
1	298.15	77.3	0.31772	0.000336	KR Harris and NJ Trappenier, Physica 104A, 1980, 262-280
1	298.15	140.85	0.37408	0.000238	KR Harris and NJ Trappenier, Physica 104A, 1980, 262-280
1	223.15	3.15	0.03224442	0.0034	Kharris, 1978
1	223.15	4.34	0.048126	0.00227	Kharris, 1978
1	223.15	5.35	0.064168	0.00171	Kharris, 1978
1	223.15	6.2	0.08004958	0.0014	Kharris, 1978
1	223.15	7.89	0.120315	0.00092	Kharris, 1978
1	223.15	9.36	0.16042	0.000694	Kharris, 1978
1	223.15	10.03	0.17630158	0.000623	Kharris, 1978
1	223.15	11.3	0.200525	0.000537	Kharris, 1978
1	223.15	13.08	0.224588	0.000463	Kharris, 1978
1	223.15	14.72	0.24063	0.000418	Kharris, 1978
1	223.15	16.92	0.256672	0.000378	Kharris, 1978
1	223.15	21.68	0.280735	0.000328	Kharris, 1978
1	223.15	35.85	0.32084	0.00026	Kharris, 1978
1	223.15	63.29	0.360945	0.000198	Kharris, 1978
1	223.15	89.96	0.385008	0.000165	Kharris, 1978
1	223.15	143.85	0.417092	0.000129	Kharris, 1978
1	223.15	143.9	0.417092	0.000128	Kharris, 1978
1	223.15	144.04	0.417092	0.000127	Kharris, 1978
1	223.15	173	0.42960476	0.000114	Kharris, 1978
1	273.15	16.81	0.16074084	0.000791	Kharris, 1978
1	273.15	16.81	0.16074084	0.000783	Kharris, 1978
1	298.15	4.53	0.03176316	0.00438	Kharris, 1978
1	298.15	8.57	0.064168	0.00217	Kharris, 1978
1	298.15	10.49	0.08037042	0.00169	Kharris, 1978
1	298.15	12.38	0.09657284	0.00141	Kharris, 1978
1	298.15	16.22	0.12865684	0.00105	Kharris, 1978
1	298.15	19.69	0.15656992	0.000856	Kharris, 1978
1	298.15	20.48	0.16042	0.000825	Kharris, 1978
1	298.15	20.49	0.16058042	0.00083	Kharris, 1978
1	298.15	20.54	0.16106168	0.000848	Kharris, 1978
1	298.15	20.55	0.16106168	0.000842	Kharris, 1978
1	298.15	20.57	0.1612221	0.000826	Kharris, 1978
1	298.15	20.6	0.16138252	0.000836	Kharris, 1978
1	298.15	20.63	0.16154294	0.000816	Kharris, 1978
1	298.15	25.8	0.192504	0.000669	Kharris, 1978
1	298.15	25.81	0.19266442	0.000681	Kharris, 1978
1	298.15	27.29	0.20020416	0.000662	Kharris, 1978
1	298.15	32.89	0.224588	0.000555	Kharris, 1978
1	298.15	32.92	0.22474842	0.000547	Kharris, 1978
1	298.15	42.14	0.2550678	0.000464	Kharris, 1978
1	298.15	56.71	0.288756	0.000389	Kharris, 1978
1	298.15	76.73	0.3200379	0.000314	Kharris, 1978
1	298.15	77.27	0.32084	0.000317	Kharris, 1978
1	298.15	77.29	0.32084	0.000313	Kharris, 1978
1	298.15	77.32	0.32084	0.000324	Kharris, 1978
1	298.15	107.63	0.352924	0.000269	Kharris, 1978
1	298.15	140.75	0.37794952	0.000229	Kharris, 1978
1	298.15	163.68	0.3914248	0.000208	Kharris, 1978
1	323.15	9.64	0.064168	0.00227	Kharris, 1978
1	323.15	11.84	0.08004958	0.00186	Kharris, 1978
1	323.15	14.11	0.096252	0.00154	Kharris, 1978
