1974 Chem_Info_ChemID	Min_T	Min_Val	Max_T	Max_Val	Avg_Dev	Num_Coeffs	A	B	C	D	E	Max_Dev	Max_Dev_T	Value
5	134.8600006	0.67441	425.1199951	3769900	0.100000001	5	66.343	-4363.2	-7.046	9.4509E-06	2	0.699999988	425	BUTANE
7	143.4199982	0.068642	469.7000122	3364200	0.200000003	5	78.741	-5420.3	-8.8253	9.6171E-06	2	2.400000095	328	PENTANE
8	113.25	0.00012144	460.3999939	3365600	0.100000001	5	71.308	-4976	-7.7169	8.7271E-06	2	0.5	443	BUTANE, 2-METHYL-
9	256.6000061	35745	433.7999878	3196800	0.200000003	5	42.256	-3723.2	-3.1133	3.154E-17	6	2.700000048	260	PROPANE, 2,2-DIMETHYL-
11	177.8300018	0.90169	507.6000061	3044900	0.899999976	5	104.65	-6995.5	-12.702	0.000012381	2	4.400000095	196	HEXANE
12	119.5500031	0.000020656	497.7000122	3043900	0.300000012	5	53.579	-5041.2	-4.6404	1.9443E-17	6	0.899999976	433	PENTANE, 2-METHYL-
13	110.25	4.1375E-07	504.6000061	3124300	0.300000012	5	57.09	-5239.7	-5.1592	2.1702E-17	6	0.699999988	243	PENTANE, 3-METHYL-
14	174.2799988	4.0748	489	3129500	0.699999988	5	93.196	-6085.2	-11.092	0.000012087	2	3.200000048	204	BUTANE, 2,2-DIMETHYL-
15	145.1900024	0.015213	500	3130000	0.300000012	5	77.161	-5691.1	-8.501	8.0325E-06	2	1.799999952	300	BUTANE, 2,3-DIMETHYL-
17	182.5700073	0.18269	540.2000122	2719200	0.5	5	87.829	-6996.4	-9.8802	7.2099E-06	2	3.799999952	202	HEPTANE
18	154.8999939	0.0042989	530.4000244	2740100	0.300000012	5	59.531	-5826.4	-5.4269	1.4542E-17	6	1.299999952	372	HEXANE, 2-METHYL-
19	153.75	0.003213	535.2000122	2806000	0.5	5	57.485	-5756.6	-5.1207	1.233E-17	6	4.199999809	379	HEXANE, 3-METHYL-
20	154.5500031	0.0017095	540.5999756	2894100	0.300000012	5	90.196	-6923.5	-10.309	0.000008077	2	0.699999988	498	PENTANE, 3-ETHYL-
21	149.3399963	0.0031752	520.5	2763800	0.200000003	5	87.305	-6469.8	-9.973	8.6229E-06	2	1.399999976	351	PENTANE, 2,2-DIMETHYL-
22	160	0.012626	537.2999878	2881800	0.200000003	5	78.335	-6348.7	-8.5105	6.4311E-06	2	1.600000024	218	PENTANE, 2,3-DIMETHYL-
23	153.9100037	0.0066965	519.7999878	2725700	0.300000012	5	86.089	-6491.9	-9.7506	8.1176E-06	2	2.599999905	368	PENTANE, 2,4-DIMETHYL-
24	138.6999969	0.00022969	536.4000244	2925800	0.300000012	5	74.562	-6058.7	-7.9839	6.2561E-06	2	2.599999905	218	PENTANE, 3,3-DIMETHYL-
25	248.5700073	914.05	531.0999756	2942100	0.200000003	5	79.383	-6127.1	-8.7696	7.3637E-06	2	0.899999976	382	BUTANE, 2,2,3-TRIMETHYL-
27	216.3800049	2.1083	568.7000122	2467300	0.400000006	5	96.084	-7900.2	-11.003	7.1802E-06	2	2	252	OCTANE
28	164.1600037	0.0010587	559.7000122	2479200	0.400000006	5	90.847	-7475.7	-10.262	6.9106E-06	2	1.799999952	370	HEPTANE, 2-METHYL-
29	152.6000061	0.0000523	563.5999756	2534600	0.200000003	5	96.07	-7700.9	-11.067	7.6863E-06	2	2.400000095	414	HEPTANE, 3-METHYL-
