1725 idDip Tc	PcBar	 acen	 TwuL	TwuM	 TwuM   c(cc/mol) zRa	 Tmin
303	425	4.32	0.195	0.1609	0.8589	2.412	-1.6099	0.2708	213
401	308.3	6.138	0.1912	0.1923	0.8685	2.2777	-0.8748	0.2708	149
402	402.4	5.63	0.2115	0.4325	0.8088	1.2275	-1.1612	0.2706	199
403	440	4.6	0.247	1.3229	1	0.5247	-2.09	0.2703	225
405	481.2	4.17	0.2899	0.2208	0.8559	2.458	-12.1115	0.2889	252
501	562.05	4.895	0.2103	0.1348	0.8481	2.5791	-1.4388	0.2698	283
502	591.75	4.108	0.264	0.3172	0.8302	1.7523	1.2382	0.2641	309
504	617.15	3.609	0.3035	0.499	0.8222	1.3543	2.703	0.262	330
505	630.3	3.732	0.3101	0.33	0.8425	1.9311	2.5506	0.2611	337
506	617	3.541	0.3265	0.3606	0.8335	1.8255	5.1486	0.2581	333
507	616.2	3.511	0.3218	0.2243	0.8496	2.5557	5.3664	0.2581	333
509	638.35	3.2	0.3444	0.4895	0.824	1.4833	1.4607	0.2634	350
510	631	3.209	0.3274	1.27	1	0.6399	2.2429	0.2626	344
513	640.2	3.23	0.3666	1.2752	1	0.6733	-2.2727	0.267	353
514	664.5	3.454	0.3666	0.4191	0.8441	1.8018	5.2133	0.256	365
515	649.1	3.232	0.3787	0.4151	0.8395	1.8302	6.8924	0.2557	360
516	637.3	3.127	0.3985	0.4215	0.8389	1.8658	7.293	0.255	356
518	660.5	2.89	0.3941	0.4682	0.8213	1.6558	3.1642	0.2606	371
519	650	3.05	0.3817	0.3306	0.8205	2.0472	-12.0095	0.2735	362
520	664.54	2.95	0.2791	1.2505	1	0.6094	6.5217	0.2605	359
524	652	2.8	0.3738	0.5425	0.8337	1.4651	8.9738	0.2559	365
527	657.9	2.803	0.4028	1.33	1	0.6844	9.9876	0.255	371
532	676	2.9	0.4217	0.774	0.8998	1.2351	15.2278	0.2481	383
534	708	2.3	0.5023	0.2651	0.83	2.8881	-18.0871	0.2705	418
558	773	3.38	0.4029	0.2339	0.8327	2.708	7.3452	0.2551	431
559	908	2.99	0.6426	0.2908	0.8187	3.1388	-30.9638	0.2753	547
560	883	2.48	0.6509	0.527	0.84	2.2042	18.7008	0.2451	540
561	857	2.99	0.5513	0.2654	0.825	3.0052	-46.15	0.2889	504
563	760	2.71	0.4816	0.2647	0.8336	2.835	26.076	0.2424	441
601	636	3.84	0.2971	0.3391	0.8164	1.7254	4.119	0.2612	338
701	748.4	4.05	0.302	0.2701	0.8209	2.0158	4.5164	0.2603	398
702	772	3.6	0.3416	1.004	0.8943	0.8321	9.3901	0.2561	420
703	761	3.5	0.3781	0.2741	0.8525	2.5103	8.5386	0.2551	420
706	720	3.65	0.3353	0.4128	0.826	1.658	3.2432	0.2597	390
715	775	3.23	0.4477	0.6905	0.8586	1.3665	-3.4372	0.2674	440
804	873	2.9	0.4857	0.2884	0.8387	2.7396	48.4969	0.2289	505
805	869	2.9	0.4707	0.3681	0.8495	2.37	56.0051	0.2221	501
814	708	3	0.2935	0.2295	0.841	2.3211	-18.947	0.2785	384
899	309.57	7.245	0.1409	1.2023	0.9324	0.4689	-1.229	0.2753	144
901	154.58	5.043	0.0222	0.2337	0.8896	1.306	-2.7621	0.2899	67
902	33.19	1.313	-0.216	1.5147	-3.7959	-0.1377	-5.3386	0.3192	10
905	126.2	3.4	0.0377	0.1242	0.8898	2.013	-3.6428	0.2908	57
908	132.92	3.499	0.0482	0.0997	0.8782	2.1509	-3.6765	0.2903	60
909	304.21	7.383	0.2236	0.1784	0.859	2.4107	-1.1374	0.2728	147
910	430.75	7.8841	0.2454	0.3949	0.824	1.4643	-0.0517	0.2671	211
911	490.85	8.21	0.424	0	0.305	1.251	-0.0539	0.2726	256
913	5.2	0.227	-0.39	0.0063	1.2175	1.0909	-4.8915	0.3355	-2
914	150.86	4.898	0	0.1227	0.9045	1.8541	-3.2933	0.2941	65
917	144.12	5.1724	0.053	0.3881	0.8851	0.9838	-2.3318	0.2876	63
918	417.15	7.71	0.0688	0.7775	0.8922	0.5817	-1.4689	0.2777	188
919	44.4	2.653	-0.0396	0.1887	0.947	1.4698	-2.3573	0.3004	16
920	209.35	5.50195	0	0.1015	0.8955	1.9494	-3.3328	0.2906	91
922	584.15	10.3	0.129	0.1358	0.8689	2.2719	-9.9116	0.3008	267
924	261	5.57	0.2119	0.2606	0.8077	1.625	3.9988	0.2505	127
925	38.35	1.662	-0.1449	0.1486	0.9968	1.0587	-4.5555	0.315	13
959	289.74	5.84037	0	0.1785	0.9199	1.7045	-3.774	0.288	128
1001	420	6.59	0.1679	1.282	1	0.4646	19.9111	0.2068	201
1003	503.6	5.038	0.2813	0.9688	1	0.8039	5.9752	0.2549	260
1005	537.2	4.41	0.2826	0.9865	1	0.7914	4.1569	0.2588	280
1041	695	4.65	0.3127	0.4849	0.8272	1.4222	4.2219	0.2597	366
1051	508.2	4.701	0.3065	0.3663	0.8371	1.7519	12.5392	0.2433	266
1052	535.5	4.15	0.3234	0.3361	0.8295	1.8817	8.5961	0.2531	285
1053	560.95	3.74	0.3448	0.3461	0.8156	1.8542	5.7013	0.2578	303
1054	574.6	3.27	0.3557	0.207	0.8389	2.7372	4.9942	0.2575	315
1059	582.82	3.32	0.3801	0.3481	0.8221	1.9949	6.4682	0.2556	322
1060	561.08	3.694	0.3433	0.4364	0.8056	1.5599	7.441	0.2546	303
1061	553.4	3.8	0.3208	1.487	0.9633	0.5315	3.6482	0.2596	296
