44	1479	1921	VLE	THF + water
  317.55  5.439600E-03  2.500000E-01  9.727000E-01 939
  317.55  6.399500E-03  2.975000E-01  9.769000E-01 939
  317.55  7.412700E-03  3.672000E-01  9.801000E-01 939
  317.55  7.999300E-03  4.273000E-01  9.821000E-01 939
  317.55  8.372600E-03  4.796000E-01  9.830000E-01 939
  317.55  8.666000E-03  5.256000E-01  9.836000E-01 939
  317.55  8.825900E-03  5.663000E-01  9.843000E-01 939
  317.55  8.945900E-03  5.998000E-01  9.849000E-01 939
  317.55  9.265900E-03  7.002000E-01  9.864000E-01 939
  317.55  9.345900E-03  9.953000E-01  9.939000E-01 939
  399.65  2.666000E-02  4.000000E-03  3.740000E-01 941
  385.35  2.666000E-02  2.900000E-02  6.530000E-01 941
  368.70  2.666000E-02  1.290000E-01  8.755000E-01 941
  364.45  2.666000E-02  1.710000E-01  9.190000E-01 941
  363.05  2.666000E-02  1.820000E-01  9.230000E-01 941
  353.45  2.666000E-02  2.910000E-01  9.460000E-01 941
  351.90  2.666000E-02  3.180000E-01  9.520000E-01 941
  344.40  2.666000E-02  5.000000E-01  9.740000E-01 941
  341.45  2.666000E-02  5.780000E-01  9.770000E-01 941
  340.75  2.666000E-02  6.130000E-01  9.790000E-01 941
  340.20  2.666000E-02  6.600000E-01  9.810000E-01 941
  340.00  2.666000E-02  6.880000E-01  9.830000E-01 941
  339.65  2.666000E-02  9.430000E-01  9.920000E-01 941
  339.60  2.666000E-02  9.950000E-01  9.940000E-01 941
  339.65  2.666000E-02  9.975000E-01  9.960000E-01 941
  454.55  1.013300E-01  1.000000E-04  7.500000E-03 942
  447.51  1.013300E-01  1.540000E-02  2.940000E-01 942
  413.05  1.013300E-01  1.019000E-01  7.827000E-01 942
  385.97  1.013300E-01  3.087000E-01  9.397000E-01 942
  380.83  1.013300E-01  3.838000E-01  9.509000E-01 942
  374.41  1.013300E-01  5.679000E-01  9.736000E-01 942
  373.17  1.013300E-01  7.215000E-01  9.778000E-01 942
  373.00  1.013300E-01  8.088000E-01  9.786000E-01 942
  372.97  1.013300E-01  9.353000E-01  9.787000E-01 942
  372.95  1.013300E-01  9.427000E-01  9.787000E-01 942
  372.95  1.013300E-01  9.741000E-01  9.805000E-01 942
  372.92  1.013300E-01  9.847000E-01  9.839000E-01 942
  372.97  1.013300E-01  9.938000E-01  9.907000E-01 942
  372.90  1.013300E-01  9.820000E-01  9.820000E-01 942
  339.55  2.666400E-02  9.930000E-01  9.930000E-01 941
  317.55  9.346000E-03  9.911000E-01  9.911000E-01 939
          19         909        1313      124389      141786
303	2.51	0.461	-86	2007 bor jun 0
303	3.92	0.666	-86	2007 bor jun 0
303	5.02	0.823	-86	2007 bor jun 0
303	6.02	0.936	-86	2007 bor jun 0
303	6.22	0.969	-86	2007 bor jun 0
  313.15  9.20000E-01  1.70000E-01  9.74000E-01 381
  313.15  2.08000E+00  3.53000E-01  9.86000E-01 381
  313.15  2.70000E+00  4.37000E-01  9.88000E-01 381
  313.15  3.64000E+00  5.55000E-01  9.90000E-01 381
  313.15  4.55000E+00  6.57000E-01  9.91000E-01 381
323.2	0.85	0.1336	-86	2012 sim fer 0
323.2	2.72	0.4082	-86	2012 sim fer 0
323.2	3.67	0.5078	-86	2012 sim fer 0
323.2	4.45	0.5788	-86	2012 sim fer 0
323.2	5.36	0.6664	-86	2012 sim fer 0
323.2	5.96	0.7211	-86	2012 sim fer 0
  333.15  1.62000E+00  2.25000E-01  9.61000E-01 381
  333.15  2.41000E+00  3.20000E-01  9.72000E-01 381
  333.15  3.13000E+00  3.98000E-01  9.72000E-01 381
3	910	1772	VLE	sulfur dioxide + acetonitrile
268.151	0.0998	0.813	-86	1987 hay pah 0
298.144	0.1009	0.347	-86	1987 hay pah 0
333.134	0.1015	0.0913	-86	1987 hay pah 0
10	1876	501	VLE	DMF + benzene
421.25	0.10133	0.98	-86	1997 bla bel 0
405.80	0.10133	0.90	-86	1997 bla bel 0
389.75	0.10133	0.78	-86	1997 bla bel 0
381.25	0.10133	0.69	-86	1997 bla bel 0
374.30	0.10133	0.61	-86	1997 bla bel 0
368.40	0.10133	0.49	-86	1997 bla bel 0
365.75	0.10133	0.40	-86	1997 bla bel 0
360.35	0.10133	0.26	-86	1997 bla bel 0
356.35	0.10133	0.11	-86	1997 bla bel 0
354.10	0.10133	0.04	-86	1997 bla bel 0
21	1052	137	VLE	2-butanone + cyclohexane
350.92	0.101	0.97	-86	1957 rao rao 2
349.82	0.101	0.95	-86	1957 rao rao 2
348.22	0.101	0.88	-86	1957 rao rao 2
346.72	0.101	0.81	-86	1957 rao rao 2
345.32	0.101	0.68	-86	1957 rao rao 2
344.92	0.101	0.60	-86	1957 rao rao 2
344.72	0.101	0.44	-86	1957 rao rao 2
344.82	0.101	0.40	-86	1957 rao rao 2
345.12	0.101	0.34	-86	1957 rao rao 2
345.42	0.101	0.29	-86	1957 rao rao 2
345.92	0.101	0.25	-86	1957 rao rao 2
346.32	0.101	0.22	-86	1957 rao rao 2
346.77	0.101	0.20	-86	1957 rao rao 2
347.27	0.101	0.18	-86	1957 rao rao 2
348.02	0.101	0.15	-86	1957 rao rao 2
348.42	0.101	0.14	-86	1957 rao rao 2
348.92	0.101	0.12	-86	1957 rao rao 2
349.82	0.101	0.10	-86	1957 rao rao 2
350.72	0.101	0.08	-86	1957 rao rao 2
351.12	0.101	0.06	-86	1957 rao rao 2
351.72	0.101	0.06	-86	1957 rao rao 2
11	1071	137	VLE	NMP + cyclohexane
418.20	0.10133	0.95	-86	1997 bla bel 0
396.85	0.10133	0.90	-86	1997 bla bel 0
381.30	0.10133	0.84	-86	1997 bla bel 0
363.60	0.10133	0.66	-86	1997 bla bel 0
361.20	0.10133	0.56	-86	1997 bla bel 0
360.15	0.10133	0.51	-86	1997 bla bel 0
358.55	0.10133	0.48	-86	1997 bla bel 0
357.85	0.10133	0.32	-86	1997 bla bel 0
356.90	0.10133	0.24	-86	1997 bla bel 0
355.85	0.10133	0.13	-86	1997 bla bel 0
355.25	0.10133	0.08	-86	1997 bla bel 0
5	1521	1886		
293.138	0.00440	0.25	-86	1926 wei hen 1
293.138	0.00695	0.40	-86	1926 wei hen 1
293.138	0.00892	0.50	-86	1926 wei hen 1
293.138	0.01107	0.60	-86	1926 wei hen 1
293.138	0.01477	0.75	-86	1926 wei hen 1
8	1844	1541		DMSO + 112-trichloroethylene
445.85	0.0953	0.9082	-86	2008 rad hsi 0
432.15	0.0953	0.8347	-86	2008 rad hsi 0
408.75	0.0953	0.6964	-86	2008 rad hsi 0
402.45	0.0953	0.652	-86	2008 rad hsi 0
376.15	0.0953	0.3868	-86	2008 rad hsi 0
369.35	0.0953	0.2745	-86	2008 rad hsi 0
363.75	0.0953	0.1591	-86	2008 rad hsi 0
360.25	0.0953	0.0725	-86	2008 rad hsi 0
15	1521	1452		
333.15	0.039671	0.0298	-86	2002 fen vrb 0
333.15	0.039487	0.0736	-86	2002 fen vrb 0
333.15	0.039475	0.1363	-86	2002 fen vrb 0
333.15	0.039971	0.215	-86	2002 fen vrb 0
333.15	0.041851	0.3149	-86	2002 fen vrb 0
333.15	0.046030	0.4242	-86	2002 fen vrb 0
333.15	0.052532	0.5308	-86	2002 fen vrb 0
333.15	0.060408	0.6244	-86	2002 fen vrb 0
333.15	0.065713	0.6825	-86	2002 fen vrb 0
333.15	0.066669	0.6903	-86	2002 fen vrb 0
333.15	0.068870	0.7101	-86	2002 fen vrb 0
333.15	0.074069	0.7631	-86	2002 fen vrb 0
333.15	0.082515	0.8453	-86	2002 fen vrb 0
333.15	0.092343	0.9458	-86	2002 fen vrb 0
333.15	0.095199	0.9767	-86	2002 fen vrb 0
31	1521	1421		
323.127	0.017510	0.0932	-86	1958 mcg ras 0
323.127	0.018150	0.1248	-86	1958 mcg ras 0
323.127	0.019300	0.1757	-86	1958 mcg ras 0
323.127	0.019890	0.2	-86	1958 mcg ras 0
323.127	0.021370	0.2626	-86	1958 mcg ras 0
