24227 TRCID	CASRN	Nist-Kt
239	100743	1 1 1 2 3 27 1 63 1 84
241	10075500	3 15 1 16 1 30 1 80 1 131
242	10075691	4 1 6 15 2 17 2 81
243	1008179	1 1 1 2 7 27 3 28
246	1008884	5 15 1 16 1 77
248	1008895	5 15 1 16 1 77
249	1009149	1 1 3 2 5 15 1 46
250	100970	6 27 4 84
251	10100955	4 1 3 2 1 4 1 60
254	101053	4 15 1 16 1 80 3 82 3 109
255	10108562	1 1 2 2 5 27 1 28 1 72
256	1011127	9 27 1 33 1 47
257	1011547	1 1 4 15 1 23 1 65 1 94
258	101213	2 1 4 15 1 61 1 109 1 176
261	1012722	6 1 4 15 2 21
262	1012766	6 1 4 15 2 21
263	101279	1 14 4 15 1 60 1 99 1 109 1 176
264	1013087	6 15 2 16 2 17 4 27
265	10137801	2 1 5 2 1 3 5 15 1 80
266	10138326	1 1 1 2 2 27 2 28 1 30 1 53
267	101417	1 1 5 15 1 16 1 52
268	101428	2 1 5 15 1 16 1 183
269	10143609	4 1 9 2 2 3 1 60
270	101439	1 1 1 7 5 27 1 28 1 58
271	1014604	6 1 4 15 2 21
272	10147361	1 1 2 2 1 110 1 155
273	10147372	2 1 1 3 1 110 1 155
274	1014819	4 15 1 65 1 96 1 112
275	10152768	1 2 1 5 1 142
276	101553	9 15 1 16 1 65 1 131
277	1016053	8 15 3 16 1 160
278	101779	8 15 1 16 1 19 2 79
279	1017932	2 27 2 28 1 30 2 88 2 91
280	101804	8 15 1 16 1 65 2 79
281	101815	10 15 1 16 1 19
283	101837	10 27 1 28 1 73
284	101848	10 15 1 16 1 65
285	101973	1 1 1 2 5 15 1 16 1 52
286	101995	1 1 5 15 1 60 1 176
287	10203288	2 1 9 2 1 3 1 204
288	10203302	2 1 9 2 1 3 1 204
289	10203324	2 1 9 2 1 3 1 204
290	10203335	2 1 9 2 1 3 1 204
291	102045	10 15 1 16 1 19 1 43
292	102078	10 15 1 16 1 186
293	102090	10 15 2 16 1 98
294	1022077	1 1 2 15 1 80 3 136
295	1022464	9 15 3 16 1 47 1 64 1 93
296	102250	3 1 3 15 3 19
297	10230689	1 42 1 133
298	10233133	3 1 9 2 1 3 1 52
299	10250483	4 1 1 4 1 52
300	102534	4 1 3 2 2 75
301	102567	2 1 3 15 2 65 1 79
302	10259220	2 1 1 2 4 15 1 56 1 65
304	102692	3 1 5 2 1 75
305	102705	2 2 3 5 1 75
306	102716	5 2 3 34 1 75
308	102794	1 1 6 2 2 34 1 75
309	102818	2 1 7 2 1 34 1 75
310	102829	3 1 8 2 1 75
