765 ID	TcEos 	PcEos	ZcEos 	AcenEos
514	681.50	4.150	0.3082	0.3277
515	668.70	3.988	0.3081	0.3302
516	655.82	3.867	0.3077	0.3523
518	676.26	3.460	0.3075	0.3605
519	665.83	3.474	0.3081	0.3317
520	663.16	3.472	0.3077	0.3489
521	659.70	3.499	0.3082	0.3361
522	678.27	3.617	0.3083	0.3202
523	668.58	3.505	0.3079	0.3377
524	670.33	3.474	0.3079	0.3404
525	679.24	3.610	0.3076	0.3593
526	676.29	3.549	0.3077	0.3521
527	678.51	3.535	0.3075	0.3588
530	711.93	3.818	0.3072	0.3761
531	699.43	3.715	0.3071	0.3794
532	697.91	3.703	0.3072	0.3757
533	701.58	2.974	0.3066	0.4037
534	713.92	2.513	0.3040	0.5021
544	687.87	2.859	0.3050	0.4657
549	740.20	2.788	0.3054	0.4510
554	773.30	2.205	0.3004	0.6268
558	791.90	4.088	0.3072	0.3758
561	847.30	2.887	0.3016	0.5922
563	789.72	3.634	0.3062	0.4194
567	698.67	3.228	0.3067	0.3988
568	717.34	2.974	0.3057	0.4386
569	748.69	2.545	0.3033	0.5296
571	787.00	2.080	0.2995	0.6538
572	802.39	1.815	0.2953	0.7718
573	810.69	1.712	0.2936	0.8176
574	792.21	1.928	0.2967	0.7297
575	678.84	3.554	0.3075	0.3596
576	689.68	3.691	0.3074	0.3637
577	686.70	3.660	0.3076	0.3522
578	688.54	3.660	0.3076	0.3544
579	687.10	3.612	0.3073	0.3693
580	695.59	3.719	0.3074	0.3660
585	685.09	3.626	0.3079	0.3383
586	674.38	3.512	0.3074	0.3641
587	678.23	3.523	0.3076	0.3549
601	652.53	4.628	0.3092	0.2670
602	672.68	4.240	0.3080	0.3348
613	675.62	4.307	0.3089	0.2872
614	726.22	4.187	0.3087	0.2932
618	702.96	4.429	0.3093	0.2612
701	752.97	4.558	0.3085	0.3119
702	790.77	4.453	0.3082	0.3246
703	795.88	4.404	0.3089	0.2823
704	793.32	3.985	0.3071	0.3803
706	737.56	4.343	0.3086	0.3029
803	710.88	4.926	0.3090	0.2803
804	943.78	4.445	0.3083	0.3065
805	928.98	4.455	0.3080	0.3399
808	842.27	4.600	0.3080	0.3308
810	698.18	3.728	0.3043	0.4921
814	717.22	3.216	0.3092	0.2678
817	926.97	3.888	0.3063	0.4162
824	642.22	4.001	0.3088	0.2930
840	643.91	3.393	0.3088	0.3013
841	661.81	3.496	0.3087	0.2940
899	314.55	8.217	0.3117	0.1463
901	154.86	5.061	0.3180	0.0203
902	48.48	2.429	0.3183	86.0000
905	126.84	3.467	0.3178	0.0313
908	133.68	3.558	0.3159	0.0584
909	305.02	7.517	0.2937	0.2118
910	437.61	9.101	0.3096	0.2448
914	150.97	4.914	0.3183	0.0051
918	420.30	8.262	0.3149	0.0780
924	276.19	7.068	0.3132	0.1111
926	375.49	6.994	0.3182	0.0154
959	290.55	5.935	0.3183	0.0051
1001	413.19	7.448	0.2578	0.2880
1003	512.46	5.853	0.2974	0.2516
1005	546.50	4.983	0.3046	0.2688
1007	576.28	4.538	0.3059	0.3201
1008	632.84	3.706	0.3066	0.3748
1009	602.87	4.056	0.3066	0.3607
1010	645.26	3.306	0.3050	0.4619
1011	662.45	3.007	0.3033	0.5187
1020	681.72	2.762	0.3024	0.5495
1021	696.48	2.539	0.3010	0.5976
1025	715.09	2.393	0.3005	0.6156
1026	726.46	2.216	0.2987	0.6719
1031	563.96	4.479	0.3069	0.2900
1034	518.33	5.781	0.2814	0.2654
1041	710.98	5.475	0.3056	0.2829
1043	859.27	5.784	0.3026	0.5805
1051	521.59	5.653	0.2962	0.2724
1052	550.72	5.023	0.3039	0.2827
1053	574.78	4.445	0.3056	0.3132
1054	587.42	3.928	0.3068	0.3309
1055	590.84	3.999	0.3065	0.3298
1056	594.62	3.764	0.2915	0.3948
1058	620.93	3.659	0.3069	0.3622
1059	597.00	4.011	0.3060	0.3488
1060	573.27	4.429	0.3061	0.3205
1061	564.58	4.473	0.3058	0.3009
1062	603.92	4.051	0.3066	0.3467
1063	627.15	3.658	0.3062	0.3909
1064	617.72	3.638	0.3069	0.3905
1066	575.34	3.904	0.3068	0.3074
1068	629.70	2.870	0.3049	0.4581
1069	589.24	3.474	0.3065	0.3605
1070	841.43	8.163	0.3070	0.3270
1071	744.33	5.623	0.2980	0.3244
1073	660.11	3.020	0.3046	0.4693
1074	664.94	3.016	0.3040	0.4943
1079	643.67	5.653	0.3018	0.2512
1080	677.45	5.057	0.3054	0.2467
1083	648.03	3.281	0.3060	0.4301
1085	846.86	3.857	0.3049	0.4610
1090	730.56	4.902	0.3065	0.3353
1095	578.41	3.883	0.3044	0.3664
1101	541.99	12.182	0.3250	0.4525
1102	534.93	8.521	0.3322	0.5604
1103	554.60	6.748	0.3235	0.5464
1104	522.51	6.162	0.3179	0.6103
1105	580.10	5.535	0.3195	0.5153
1106	562.18	5.269	0.3140	0.5222
1107	551.06	5.199	0.3135	0.5048
1108	518.84	4.854	0.3146	0.5532
1109	602.22	4.741	0.3136	0.5223
1111	554.97	4.415	0.3142	0.4403
1112	582.26	4.808	0.3205	0.5977
1114	627.36	4.225	0.3131	0.5118
1115	601.43	4.037	0.3129	0.4935
1117	593.40	3.776	0.3013	0.6541
1118	603.89	3.919	0.3061	0.6250
1120	551.83	4.317	0.3098	0.6625
1121	652.03	3.299	0.3077	0.5278
1123	595.84	4.726	0.3153	0.4909
1125	646.00	3.642	0.3070	0.5235
1126	622.99	3.646	0.3128	0.5126
1130	577.06	3.906	0.3240	0.5980
1132	668.80	3.326	0.3075	0.5257
1133	644.01	3.223	0.3081	0.5292
1134	686.85	3.088	0.3060	0.5502
1136	708.15	2.855	0.3071	0.5435
1140	731.27	2.414	0.3030	0.6532
1141	746.89	2.230	0.3026	0.6683
1143	771.91	1.968	0.2995	0.7375
1144	786.54	1.896	0.2992	0.7508
1147	603.94	3.977	0.3072	0.5510
1151	664.05	5.141	0.3122	0.3449
1159	691.71	3.323	0.3269	0.5697
1167	568.92	7.644	0.3272	0.4766
1172	723.04	5.110	0.3284	0.4639
1174	707.05	4.715	0.3188	0.5418
1177	729.95	4.894	0.3182	0.5648
1178	743.63	4.857	0.3091	0.4189
1181	703.29	6.342	0.3076	0.4000
1182	703.75	5.403	0.3069	0.4223
1183	729.18	5.726	0.3144	0.3861
1184	711.37	5.308	0.3060	0.4731
1185	713.24	4.636	0.3067	0.4350
1187	741.79	5.702	0.3321	0.4545
1201	732.41	10.815	0.3252	0.5327
1220	711.12	6.599	0.3174	0.4797
1231	926.26	9.374	0.3111	0.2489
1251	616.93	8.975	0.2204	0.2761
1253	664.24	8.039	0.3380	0.3780
1256	637.50	5.531	0.3174	0.6175
1258	670.18	5.241	0.3247	0.5894
1259	745.40	3.455	0.3154	0.6121
1261	656.41	5.092	0.3237	0.5787
1262	673.78	4.096	0.3007	0.6206
1265	706.24	3.585	0.3195	0.7698
1266	767.56	2.879	0.3121	0.6757
1269	775.33	2.627	0.3106	0.7255
1270	790.31	2.460	0.3082	0.7229
1271	798.08	2.214	0.3028	0.7662
1272	819.10	1.971	0.3013	0.8078
